Year,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2025,15676715,Madukaego,640,France,Male,68,9,0.0,2,1,1,199493.38,0
2025,15613085,Ibrahimova,628,Spain,Female,33,3,0.0,1,1,1,188193.25,0
2025,15583303,Monaldo,593,France,Female,29,2,152265.43,1,1,0,34004.44,0
2025,15611579,Sutherland,801,Spain,Male,42,4,141947.67,1,1,1,10598.29,0
2025,15759537,Bianchi,717,Germany,Male,35,7,58469.37,2,1,1,172459.39,0
2025,15667871,Kerr,572,Spain,Male,35,4,152390.26,1,1,0,128123.66,0
2025,15689294,Onyemaechi,705,Germany,Male,44,3,105934.96,1,1,0,82463.69,0
2025,15685226,Morrison,712,Germany,Female,29,7,147199.07,1,1,1,84932.4,0
2025,15785611,Onyeoruru,752,Germany,Male,38,3,183102.29,1,1,1,71557.12,0
2025,15573456,Cunningham,648,Spain,Male,46,9,127209.0,2,1,0,77405.95,1
2025,15807432,Cheng,645,Germany,Female,37,2,136925.09,2,0,1,153400.24,0
2025,15762218,Mills,701,France,Female,39,9,0.0,2,0,1,145894.9,0
2025,15646372,Outhwaite,616,France,Female,66,1,135842.41,1,1,0,183840.51,1
2025,15642291,Fontaine,685,France,Male,23,8,0.0,2,1,1,112239.03,0
2025,15692761,Pratt,718,France,Male,36,9,0.0,1,1,0,45909.87,0
2025,15578045,Mitchell,538,Spain,Female,49,9,141434.04,1,0,0,173779.25,1
2025,15745354,Franklin,611,Spain,Female,37,4,0.0,2,1,0,125696.26,0
2025,15686302,Fisk,745,Spain,Female,31,3,124328.84,1,1,1,140451.52,0
2025,15695632,Dellucci,556,France,Female,39,9,89588.35,1,1,1,94898.1,0
2025,15615624,De Salis,605,France,Female,28,6,0.0,2,0,0,159508.52,0
2025,15622834,Stevenson,678,France,Female,35,4,0.0,1,1,0,125518.32,0
2025,15566111,Estes,596,France,Male,39,9,0.0,1,1,0,48963.59,0
2025,15743040,Kuznetsova,724,Germany,Male,41,2,127892.57,2,0,1,199645.45,0
2025,15611088,Genovese,790,France,Female,31,9,0.0,2,1,0,84126.75,0
2025,15694860,Uspensky,675,France,Female,38,6,68065.8,1,0,0,138777.0,1
2025,15726631,Hilton,758,France,Female,39,6,127357.76,1,0,1,56577.0,0
2025,15747960,Eluemuno,733,France,Male,33,3,0.0,1,1,1,7666.73,0
2025,15707362,Yin,514,Germany,Male,43,1,95556.31,1,0,1,199273.98,1
2025,15662976,Lettiere,637,Spain,Male,37,8,0.0,1,1,1,186062.36,0
2025,15732778,Templeman,468,Germany,Male,29,1,111681.98,2,1,1,195711.16,0
2025,15613786,Ogbonnaya,818,Spain,Male,26,4,0.0,2,1,1,167036.94,0
2025,15663252,Olisanugo,850,Spain,Female,32,9,0.0,2,1,1,18924.92,0
2025,15591986,Johnston,621,Germany,Male,46,6,141078.37,1,0,0,34580.8,1
2025,15744398,Burns,525,France,Female,23,5,0.0,2,1,0,160249.1,0
2025,15750658,Obiuto,798,France,Male,37,8,0.0,3,0,0,110783.28,0
2025,15676519,George,615,Spain,Male,61,9,0.0,2,1,0,150227.85,1
2025,15731744,Carslaw,692,France,Male,30,2,0.0,2,0,1,130486.57,0
2025,15677020,Selezneva,570,France,Female,58,8,0.0,1,0,1,116503.92,1
2025,15714485,Udinese,774,France,Male,60,5,85891.55,1,1,0,74135.48,1
2025,15715527,Freeman,543,Spain,Female,41,4,0.0,1,0,0,194902.16,0
2025,15782236,Gibbs,735,Spain,Male,34,5,0.0,2,0,0,71095.41,0
2025,15682048,Pisano,605,France,Female,51,3,136188.78,1,1,1,67110.59,1
2025,15653547,Madukwe,850,France,Male,56,7,131317.48,1,1,1,119175.45,0
2025,15595766,Watts,527,Spain,Male,37,5,93722.73,2,1,1,139093.73,0
2025,15742358,Humphreys,696,Germany,Male,32,8,101160.99,1,1,1,115916.55,0
2025,15786063,Chin,776,France,Female,31,2,0.0,2,1,1,112349.51,0
2025,15600258,Chesnokova,701,France,Male,43,2,0.0,2,1,1,165303.79,0
2025,15694272,Nkemakolam,673,France,Male,30,1,64097.75,1,1,1,77783.35,0
2025,15592846,Fiorentini,639,Germany,Male,35,10,128173.9,2,1,0,59093.39,0
2025,15739803,Lucciano,686,Spain,Male,34,9,0.0,2,1,0,127569.8,0
2025,15762729,Ukaegbunam,745,Germany,Female,28,1,111071.36,1,1,0,73275.96,1
2025,15626578,Milne,622,France,Male,26,9,0.0,2,1,1,153237.59,0
2025,15776223,Davide,597,France,Female,42,4,64740.12,1,1,1,106841.12,0
2025,15615457,Burns,842,Spain,Female,44,2,112652.08,2,1,0,126644.98,0
2025,15708916,Paterson,587,France,Male,38,0,0.0,2,1,0,47414.15,0
2025,15763063,Price,685,Spain,Female,25,10,128509.63,1,1,0,121562.33,0
2025,15705515,Lazarev,587,Germany,Male,40,5,138241.9,2,1,0,159418.1,0
2025,15571816,Ritchie,850,Spain,Female,70,5,0.0,1,1,1,705.18,0
2025,15670080,Mackenzie,584,Germany,Female,29,7,105204.01,1,0,1,138490.03,0
2025,15665678,Tan,607,Spain,Male,36,8,158261.68,1,1,1,76744.72,0
2025,15706647,Jordan,761,France,Male,31,7,0.0,3,1,1,166698.18,0
2025,15730076,Osborne,651,France,Male,45,1,0.0,1,1,0,67740.08,1
2025,15622003,Carslaw,745,France,Male,35,9,92566.53,2,1,0,161519.77,0
2025,15644753,Hung,848,Spain,Male,40,3,110929.96,1,1,1,30876.84,0
2025,15653620,Gordon,546,France,Female,27,8,0.0,2,1,1,14858.1,0
2025,15692671,Dobson,701,Spain,Male,36,8,0.0,2,1,0,169161.46,0
2025,15737741,McKay,607,Spain,Female,33,2,108431.87,2,0,1,109291.39,1
2025,15753719,Rickards,547,Germany,Female,30,9,72392.41,1,1,0,77077.14,0
2025,15680998,Nwankwo,725,France,Male,44,5,0.0,1,1,1,117356.14,0
2025,15775153,Buchi,630,Spain,Male,32,4,82034.0,1,0,0,146326.45,0
2025,15680970,Lombardi,611,Germany,Female,41,2,114206.84,1,1,0,164061.6,0
2025,15567446,Coffman,646,Germany,Male,39,9,111574.41,1,1,1,30838.51,0
2025,15683503,Hudson,601,France,Female,43,8,0.0,3,0,1,110916.15,1
2025,15661249,Bellucci,699,France,Male,53,4,0.0,2,0,1,111307.98,0
2025,15607170,Boyle,699,France,Male,35,5,0.0,2,1,1,78397.24,0
2025,15686611,Moss,495,France,Male,30,10,129755.99,1,0,0,172749.65,0
2025,15619857,Crawford,605,France,Female,64,2,129555.7,1,1,1,13601.79,0
2025,15660271,Duncan,688,Germany,Male,26,8,146133.39,1,1,1,175296.76,0
2025,15646161,Steinhoff,673,Spain,Female,37,8,0.0,2,1,1,183318.79,0
2025,15692463,Rahman,799,Spain,Female,28,3,142253.65,1,1,0,45042.56,0
2025,15712403,McMillan,589,France,Female,61,1,0.0,1,1,0,61108.56,1
2025,15811762,Pickering,583,Germany,Female,54,6,115988.86,1,1,0,57553.98,1
2025,15718673,Mirams,839,Spain,Female,33,10,75592.43,1,1,0,62674.42,0
2025,15738181,Douglas,850,France,Male,31,6,67996.23,2,0,0,50129.87,1
2025,15633648,Jideofor,696,Spain,Female,51,5,0.0,2,1,0,55022.43,0
2025,15588350,McIntyre,744,France,Female,43,10,147832.15,1,0,1,24234.11,0
2025,15798398,Pagnotto,785,France,Female,36,4,135438.4,1,0,0,190627.01,0
2025,15569807,Ejimofor,673,France,Female,34,8,42157.08,1,1,0,20598.59,1
2025,15730830,Dale,752,France,Female,30,3,0.0,2,1,1,104991.28,0
2025,15813850,Christian,720,France,Male,52,7,0.0,1,1,1,14781.12,0
2025,15603065,Grubb,751,France,Female,30,6,0.0,2,1,0,15766.1,0
2025,15592937,Napolitani,632,Germany,Female,41,3,81877.38,1,1,1,33642.21,0
2025,15699637,Anenechi,694,Spain,Male,57,8,116326.07,1,1,1,117704.65,0
2025,15788659,Howells,695,France,Male,46,4,0.0,2,1,1,137537.22,0
2025,15725511,Wallace,559,France,Female,31,3,127070.73,1,0,1,160941.78,0
2025,15575024,Uwaezuoke,503,France,Male,29,3,0.0,2,1,1,143954.99,0
2025,15662397,Small,640,France,Female,42,5,176099.13,1,1,1,8404.73,0
2025,15674991,Kao,667,France,Male,42,9,0.0,2,0,1,58137.42,0
2025,15600337,Dobie,661,Spain,Male,42,2,178820.91,1,0,0,29358.57,1
2025,15801277,Maccallum,715,France,Female,31,2,112212.14,2,1,1,181600.72,0
2025,15579334,Watkins,769,Germany,Female,45,5,126674.81,1,1,0,124118.71,1
2025,15802741,Mitchel,625,France,Female,51,7,136294.97,1,1,0,38867.46,1
2025,15720649,Ferdinand,641,France,Female,36,5,66392.64,1,1,0,31106.67,0
2025,15620204,Walker,543,Germany,Female,57,1,106138.33,2,1,1,120657.32,1
2025,15669516,Steele,746,Spain,Male,36,2,0.0,2,1,1,16436.56,0
2025,15736534,Elkins,742,Germany,Male,33,0,181656.51,1,1,1,107667.91,0
2025,15603436,Savage,594,Spain,Female,49,2,126615.94,2,0,1,123214.74,0
2025,15566292,Okwuadigbo,574,Spain,Male,36,1,0.0,2,0,1,71709.12,0
2025,15773809,Campbell,620,France,Male,42,4,0.0,2,1,0,6232.31,0
2025,15807609,Yuan,650,Spain,Female,25,3,86605.5,3,1,0,16649.31,1
2025,15677369,Golubov,554,Germany,Female,37,4,58629.97,1,0,0,182038.6,0
2025,15804072,Chen,701,Spain,Female,42,5,0.0,2,0,0,24210.56,0
2025,15571973,Chinwemma,776,France,Female,38,2,169824.46,1,1,0,169291.7,0
2025,15673570,Olsen,580,France,Male,37,9,0.0,2,0,1,77108.66,0
2025,15767432,Ts'ai,711,France,Female,25,7,0.0,3,1,1,9679.28,0
2025,15654238,Jen,673,France,Female,40,5,137494.28,1,1,0,81753.92,0
2025,15583212,Chidozie,600,France,Female,43,5,134022.06,1,1,0,194764.83,0
2025,15677921,Bobrov,720,Germany,Male,60,9,115920.62,2,0,0,157552.08,1
2025,15724296,Kerr,684,Spain,Male,41,2,119782.72,2,0,0,120284.67,0
2025,15685329,McKenzie,531,France,Female,63,1,114715.71,1,0,1,24506.95,1
2025,15584091,Pitts,742,Germany,Female,36,2,129748.54,2,0,0,47271.61,1
2025,15640442,Standish,717,France,Male,31,4,129722.57,1,0,0,41176.6,0
2025,15639314,Cartwright,589,France,Male,32,2,0.0,2,0,1,9468.64,0
2025,15752137,McElroy,648,France,Male,33,7,134944.0,1,1,1,117036.38,0
2025,15797227,Otutodilinna,754,France,Male,28,8,0.0,2,1,1,52615.62,0
2025,15737051,Denisov,639,France,Male,27,8,0.0,2,1,0,192247.35,0
2025,15585595,Owens,774,France,Female,28,1,71264.02,2,0,1,68759.57,0
2025,15571221,Bergamaschi,747,Germany,Male,58,7,116313.57,1,1,1,190696.35,1
2025,15600739,Galkin,562,Spain,Female,35,0,0.0,2,1,0,119899.52,0
2025,15643696,Young,611,France,Male,49,3,0.0,2,1,1,142917.54,0
2025,15707473,Summers,850,Germany,Female,48,6,111962.99,1,1,0,111755.8,0
2025,15769504,Munro,743,Germany,Female,34,1,131736.88,1,1,1,108543.21,0
2025,15640280,Cameron,850,France,Male,39,4,127771.35,2,0,1,151738.54,0
2025,15613319,Rice,793,France,Female,33,0,0.0,1,0,0,175544.02,0
2025,15641655,Black,700,France,Female,26,2,0.0,2,0,0,50051.42,0
2025,15747807,Gallagher,720,France,Female,43,6,137824.03,2,1,0,172557.77,0
2025,15765311,Zhirov,642,Spain,Male,34,8,0.0,1,1,0,72085.1,0
2025,15757811,Lloyd,732,Spain,Female,69,9,137453.43,1,0,1,110932.24,1
2025,15603830,Palmer,600,Spain,Male,36,4,0.0,2,1,0,143635.36,0
2025,15660602,Ch'eng,464,Germany,Male,33,8,164284.72,2,1,1,3710.34,0
2025,15666633,Huang,758,Spain,Male,56,1,0.0,2,1,1,10643.38,0
2025,15695846,Hawkins,684,France,Female,34,6,0.0,2,1,1,130928.22,0
2025,15797964,Cameron,732,Germany,Female,29,1,154333.82,1,1,1,138527.56,0
2025,15585036,Okoli,694,Spain,Female,37,3,0.0,2,1,1,147012.22,0
2025,15727915,Artemiev,507,France,Male,36,4,83543.37,1,0,0,140134.43,0
2025,15707567,Esposito,732,Germany,Male,50,6,145338.76,1,0,0,91936.1,1
2025,15592222,Lo,505,France,Male,49,7,80001.23,1,0,0,135180.11,0
2025,15608968,Averyanov,714,Germany,Male,21,6,86402.52,2,0,0,27330.59,0
2025,15794048,Wan,667,Germany,Female,48,1,97133.92,2,0,0,113316.77,1
2025,15745012,Pettit,653,France,Female,43,6,0.0,2,1,1,7330.59,0
2025,15601589,Baresi,675,France,Female,57,8,0.0,2,0,1,95463.29,0
2025,15686436,Newbery,523,Spain,Male,32,4,0.0,2,1,0,167848.02,0
2025,15807663,McGregor,667,France,Male,43,8,190227.46,1,1,0,97508.04,1
2025,15614215,Oguejiofor,717,France,Male,53,6,0.0,2,0,1,97614.87,0
2025,15756804,O'Loghlen,636,France,Female,48,1,170833.46,1,1,0,110510.28,1
2025,15674840,Chiazagomekpere,645,France,Female,38,5,101430.3,2,0,1,4400.32,0
2025,15653762,Chidiebele,501,France,Female,39,9,117301.66,1,0,0,182025.95,0
2025,15581229,Gregory,502,Germany,Female,32,1,173340.83,1,0,1,122763.95,0
2025,15656333,Jen,574,France,Female,33,3,134348.57,1,1,0,63163.99,0
2025,15785519,May,565,France,Male,36,6,106192.1,1,1,0,149575.59,0
2025,15780140,Bellucci,435,Germany,Male,32,2,57017.06,2,1,1,5907.11,0
2025,15585255,Moore,577,France,Male,42,9,0.0,1,1,0,74077.91,0
2025,15669987,Sung,728,Germany,Female,35,8,125884.95,2,1,0,54359.02,1
2025,15697000,Mello,728,Germany,Male,32,5,61825.5,1,1,1,156124.93,0
2025,15632210,Hill,657,Germany,Male,25,2,171770.55,1,1,0,22745.5,0
2025,15642041,Burns,727,Germany,Male,40,1,93051.64,2,1,0,71865.31,1
2025,15675964,Chukwukadibia,672,France,Female,45,9,0.0,1,1,1,92027.69,1
2025,15719856,Lamb,646,France,Female,45,3,47134.75,1,1,1,57236.44,0
2025,15593773,Olejuru,784,Spain,Male,35,3,0.0,2,0,0,81483.64,0
2025,15797748,Lu,729,France,Male,44,5,0.0,2,0,1,9200.54,0
2025,15753337,Yeates,555,France,Male,51,5,0.0,3,1,0,189122.89,1
2025,15601026,Gallagher,572,Germany,Female,19,1,138657.08,1,1,1,16161.82,0
2025,15658485,Heath,785,France,Female,34,9,70302.48,1,1,1,68600.36,0
2025,15677135,Lorenzo,520,Germany,Male,61,8,133802.29,2,1,1,90304.01,0
2025,15790782,Baryshnikov,661,Spain,Male,39,6,132628.98,1,0,0,38812.67,0
2025,15737795,Scott,512,Spain,Male,36,1,0.0,1,0,1,135482.26,1
2025,15675316,Avdeeva,619,France,Female,38,3,0.0,2,0,1,116467.35,0
2025,15613630,Tang,775,France,Male,52,8,109922.61,1,1,1,96823.32,1
2025,15781465,Schofield,675,Germany,Female,29,8,121326.42,1,1,0,133457.52,0
2025,15783659,Blackburn,659,France,Male,67,4,145981.87,1,1,1,131043.2,0
2025,15630328,Bird,635,France,Female,48,8,130796.33,2,1,1,43250.3,0
2025,15785899,Ch'en,789,Germany,Male,33,8,151607.56,1,1,0,4389.4,0
2025,15671139,Brizendine,694,Spain,Male,39,0,107042.74,1,1,1,102284.2,0
2025,15660429,Ch'in,665,Spain,Female,42,2,156371.61,2,0,1,156774.94,1
2025,15571002,Yusupov,706,France,Female,44,4,129605.99,1,0,0,69865.49,0
2025,15631681,Jibunoh,807,Spain,Female,43,0,0.0,2,0,1,85523.24,0
2025,15628034,Wilder,629,France,Female,37,6,129101.3,1,1,1,23971.33,0
2025,15753831,Cox,642,Spain,Male,32,7,100433.8,1,1,1,39768.59,0
2025,15731815,Nepean,529,Spain,Male,63,4,96134.11,3,1,0,108732.96,1
2025,15589805,Benson,563,France,Female,34,6,139810.34,1,1,1,152417.79,0
2025,15641009,Wilhelm,544,France,Male,37,3,84496.71,1,0,0,79972.09,0
2025,15705620,Lu,730,France,Male,34,5,122453.37,2,1,0,138882.98,0
2025,15570060,Palerma,586,France,Female,43,8,132558.26,1,1,0,67046.83,1
2025,15624729,Tsao,594,France,Male,27,0,197041.8,1,0,0,151912.49,0
2025,15704770,Pan,773,France,Male,25,1,124532.78,2,0,1,11723.57,0
2025,15756475,Kenniff,551,Germany,Male,31,9,82293.82,2,1,1,91565.25,0
2025,15655339,Spencer,566,France,Male,36,1,142120.91,1,1,0,79616.37,0
2025,15613749,Lees,569,Spain,Male,34,0,151839.26,1,1,0,102299.81,1
2025,15664521,David,659,Spain,Male,31,7,149620.88,2,1,1,104533.51,0
2025,15810218,Sun,610,Spain,Male,29,9,0.0,3,0,1,83912.24,0
2025,15691111,Pai,648,Germany,Female,42,8,121980.56,2,1,0,4027.02,0
2025,15573086,Millar,564,France,Male,42,7,99824.45,1,1,1,36721.4,0
2025,15698442,Eberechukwu,719,Spain,Male,35,3,122964.88,1,1,1,138231.7,0
2025,15655274,Bardin,548,France,Female,29,4,0.0,2,0,1,48673.18,0
2025,15603594,Nwankwo,635,Spain,Male,24,4,0.0,2,1,1,70668.77,0
2025,15686936,McGregor,676,France,Female,37,5,89634.69,1,1,1,169583.18,1
2025,15770424,Onyeorulu,541,Germany,Male,40,7,95710.11,2,1,0,49063.42,0
2025,15600583,Garner,633,France,Male,31,1,0.0,1,1,0,48606.71,0
2025,15717164,Genovese,485,Spain,Male,32,6,102238.01,2,1,1,194010.12,0
2025,15686345,McCaffrey,828,Spain,Male,34,9,0.0,2,1,1,81853.98,0
2025,15667521,Crawford,631,France,Female,22,3,0.0,2,0,0,30781.77,0
2025,15631054,Volkova,625,France,Female,24,1,0.0,2,1,1,180969.55,0
2025,15780870,McKay,580,Spain,Male,67,3,153946.14,1,1,1,7418.92,0
2025,15570417,Chien,579,France,Male,35,1,0.0,2,1,0,4460.2,0
2025,15785980,Williford,588,Spain,Male,34,6,121132.26,2,1,0,86460.28,0
2025,15645103,Su,812,Germany,Male,25,5,54817.55,1,1,0,131660.31,0
2025,15623828,Akobundu,682,France,Male,30,4,0.0,1,0,1,161465.31,0
2025,15706186,McKenzie,640,Germany,Male,33,8,81677.22,2,0,0,34925.56,0
2025,15812197,Kline,850,France,Male,38,7,80293.98,1,0,0,126555.74,0
2025,15650933,Ma,490,Spain,Female,48,8,155413.06,1,1,0,187921.3,0
2025,15631189,Riggs,613,Germany,Male,38,9,67111.65,1,1,0,78566.64,1
2025,15762198,Capon,812,France,Male,34,5,103818.43,1,1,1,166038.27,0
2025,15692744,Davison,512,France,Male,36,4,152169.12,2,0,0,38629.3,1
2025,15688963,Ingram,731,France,Female,52,10,0.0,1,1,1,24998.75,1
2025,15599131,Dilke,650,Germany,Male,26,4,214346.96,2,1,0,128815.33,0
2025,15628674,Iadanza,844,France,Male,40,7,113348.14,1,1,0,31904.31,1
2025,15648075,Hebert,686,Germany,Female,47,5,170935.94,1,1,0,173179.79,1
2025,15625698,Dumetochukwu,624,Spain,Female,23,6,0.0,2,0,1,196668.51,0
2025,15729832,Cheng,658,France,Male,29,3,145512.84,1,1,0,20207.02,0
2025,15589195,Bluett,766,Germany,Female,38,7,130933.74,1,0,1,2035.94,0
2025,15699911,Chapman,461,Spain,Female,35,8,0.0,1,1,0,132295.95,0
2025,15646513,Spyer,803,France,Male,42,5,0.0,1,1,0,196466.83,1
2025,15649744,Fallaci,628,France,Female,51,3,123981.31,2,1,1,40546.15,0
2025,15784092,Henderson,732,France,Male,36,7,126195.81,1,1,1,133172.48,0
2025,15724127,McLean,790,France,Female,26,4,141581.71,2,0,0,98309.27,0
